feature,gain_importance
P1_PUBLIC_VPS,0.17809180915355682
P0_PUBLIC_VPS,0.06742694973945618
P0_ACTUAL_VPS,0.058764033019542694
P1_NUM_DEVS_IN_HAND,0.03929080441594124
P0_NUM_DEVS_IN_HAND,0.02740650251507759
TOTAL_P0_ORE_PRODUCTION,0.021565234288573265
TOTAL_P0_WHEAT_PRODUCTION,0.017996961250901222
P0_HAS_ORE_PORT,0.01650223881006241
P1_KNIGHT_PLAYED,0.015573784708976746
TOTAL_P1_WHEAT_PRODUCTION,0.013992496766149998
TOTAL_P1_ORE_PRODUCTION,0.013458815403282642
P1_ROADS_LEFT,0.013355294242501259
P1_LONGEST_ROAD_LENGTH,0.012555119581520557
TOTAL_P0_SHEEP_PRODUCTION,0.012477242387831211
P1_ROAD_BUILDING_PLAYED,0.012395737692713737
P0_VICTORY_POINT_IN_HAND,0.012353574857115746
P0_ROADS_LEFT,0.011744704097509384
TOTAL_P0_WOOD_PRODUCTION,0.011584018357098103
P0_YEAR_OF_PLENTY_PLAYED,0.011280540376901627
P0_KNIGHT_PLAYED,0.011054415255784988
TOTAL_P0_BRICK_PRODUCTION,0.010853304527699947
P0_HAS_WHEAT_PORT,0.010845260694622993
P1_HAS_ROAD,0.010717407800257206
P1_HAS_ORE_PORT,0.010615878738462925
P1_HAS_3:1_PORT,0.010421056300401688
TOTAL_P1_SHEEP_PRODUCTION,0.010036309249699116
TOTAL_P1_WOOD_PRODUCTION,0.009947140701115131
EFFECTIVE_P0_WHEAT_PRODUCTION,0.009708014316856861
P1_SHEEP_PORT_DISTANCE,0.009569783695042133
EFFECTIVE_P0_ORE_PRODUCTION,0.009391799569129944
P0_ROAD_BUILDING_IN_HAND,0.009357409551739693
P0_HAS_BRICK_PORT,0.009124739095568657
P0_SHEEP_PORT_DISTANCE,0.008899041451513767
P1_WHEAT_PORT_DISTANCE,0.008565514348447323
TOTAL_P1_BRICK_PRODUCTION,0.008420132100582123
P1_HAS_WHEAT_PORT,0.0083889439702034
P0_WOOD_PORT_DISTANCE,0.008386936038732529
P0_WHEAT_PORT_DISTANCE,0.00836875382810831
P0_LONGEST_ROAD_LENGTH,0.00830587837845087
P1_CITIES_LEFT,0.008229752071201801
P1_ORE_PORT_DISTANCE,0.008228574879467487
P0_HAS_3:1_PORT,0.008072673343122005
P0_HAS_ARMY,0.008049864321947098
P0_ROAD_BUILDING_PLAYED,0.008024833165109158
P1_HAS_WOOD_PORT,0.007999393157660961
P1_HAS_BRICK_PORT,0.007972287945449352
P1_MONOPOLY_PLAYED,0.007946455851197243
EFFECTIVE_P1_SHEEP_PRODUCTION,0.007912782020866871
P0_ORE_PORT_DISTANCE,0.007849974557757378
P0_BRICK_PORT_DISTANCE,0.007779599633067846
P0_MONOPOLY_PLAYED,0.007768465671688318
P1_BRICK_PORT_DISTANCE,0.0076912157237529755
P0_HAS_SHEEP_PORT,0.007645148318260908
EFFECTIVE_P1_WHEAT_PRODUCTION,0.007589130196720362
P1_WOOD_PORT_DISTANCE,0.007528916001319885
P1_YEAR_OF_PLENTY_PLAYED,0.0075223385356366634
P1_SETTLEMENTS_LEFT,0.007351445499807596
P0_SETTLEMENTS_LEFT,0.007225217297673225
P0_HAS_WOOD_PORT,0.0070083262398839
P1_HAS_SHEEP_PORT,0.006686534732580185
EFFECTIVE_P0_SHEEP_PRODUCTION,0.006685404106974602
P1_3:1_PORT_DISTANCE,0.006623910274356604
P0_3:1_PORT_DISTANCE,0.006462869234383106
EFFECTIVE_P1_ORE_PRODUCTION,0.006245015654712915
P1_HAS_ARMY,0.006174239329993725
EFFECTIVE_P0_WOOD_PRODUCTION,0.0060443091206252575
P0_HAS_ROAD,0.005903457757085562
EFFECTIVE_P1_WOOD_PRODUCTION,0.005502975545823574
P0_CITIES_LEFT,0.005481120198965073
EFFECTIVE_P0_BRICK_PRODUCTION,0.005148475058376789
EFFECTIVE_P1_BRICK_PRODUCTION,0.004805827513337135
BANK_DEV_CARDS,0.003112188773229718
P1_NUM_RESOURCES_IN_HAND,0.002941019833087921
P0_ORE_IN_HAND,0.0016113817691802979
P0_WOOD_IN_HAND,0.0013526655966416001
BANK_ORE,0.0013359483564272523
P0_BRICK_IN_HAND,0.0006246371194720268
BANK_WHEAT,0.0005945197772234678
P0_WHEAT_IN_HAND,0.00048766154213808477
BANK_WOOD,0.0004329508519731462
P0_SHEEP_IN_HAND,0.00038404628867283463
P0_NUM_RESOURCES_IN_HAND,0.0003656932676676661
BANK_BRICK,0.00033273917506448925
BANK_SHEEP,0.0002844107220880687
P0_MONOPOLY_IN_HAND,7.964569522300735e-05
P0_KNIGHT_IN_HAND,5.3449322876986116e-05
P0_YEAR_OF_PLENTY_IN_HAND,5.30233774043154e-05
IS_DISCARDING,0.0
IS_MOVING_ROBBER,0.0
P0_HAS_PLAYED_DEVELOPMENT_CARD_IN_TURN,0.0
P0_HAS_ROLLED,0.0
P1_HAS_ROLLED,0.0
