feature,coefficient,abs_coefficient
P1_NUM_DEVS_IN_HAND,-0.5919044391279089,0.5919044391279089
TOTAL_P0_ORE_PRODUCTION,0.5608424088859087,0.5608424088859087
P1_LONGEST_ROAD_LENGTH,-0.4908816142838166,0.4908816142838166
P0_LONGEST_ROAD_LENGTH,0.4671869753391969,0.4671869753391969
TOTAL_P0_WHEAT_PRODUCTION,0.46643349925446614,0.46643349925446614
P0_VICTORY_POINT_IN_HAND,0.4514606469583251,0.4514606469583251
P1_KNIGHT_PLAYED,-0.4214828161514697,0.4214828161514697
P0_CITIES_LEFT,0.4016825941630888,0.4016825941630888
TOTAL_P0_WOOD_PRODUCTION,0.3818658739093824,0.3818658739093824
P0_HAS_ARMY,0.36469877885036983,0.36469877885036983
P0_NUM_DEVS_IN_HAND,0.3429050990910569,0.3429050990910569
TOTAL_P1_WHEAT_PRODUCTION,-0.3134820584579944,0.3134820584579944
TOTAL_P0_BRICK_PRODUCTION,0.3133850911213056,0.3133850911213056
TOTAL_P1_ORE_PRODUCTION,-0.30903676292448484,0.30903676292448484
P0_HAS_ORE_PORT,-0.3008992692240742,0.3008992692240742
P0_KNIGHT_PLAYED,0.2771141493630786,0.2771141493630786
P0_ROAD_BUILDING_IN_HAND,-0.2489539726560052,0.2489539726560052
TOTAL_P0_SHEEP_PRODUCTION,0.23182439734745566,0.23182439734745566
P0_HAS_ROAD,0.2234897404737972,0.2234897404737972
P0_PUBLIC_VPS,-0.19666707677305673,0.19666707677305673
TOTAL_P1_WOOD_PRODUCTION,-0.1909691305018741,0.1909691305018741
P1_HAS_ROAD,-0.17443216626134556,0.17443216626134556
TOTAL_P1_SHEEP_PRODUCTION,-0.17411062174804287,0.17411062174804287
P0_SETTLEMENTS_LEFT,0.17235097195797383,0.17235097195797383
P1_HAS_ARMY,-0.17065622711260756,0.17065622711260756
P0_HAS_WHEAT_PORT,-0.12963586217073608,0.12963586217073608
P0_BRICK_PORT_DISTANCE,-0.1260545792279422,0.1260545792279422
P1_SHEEP_PORT_DISTANCE,0.11808276422846664,0.11808276422846664
BANK_DEV_CARDS,0.10079347866719689,0.10079347866719689
P1_HAS_ORE_PORT,0.10030587251718046,0.10030587251718046
P0_HAS_3:1_PORT,-0.09922098509078994,0.09922098509078994
P0_MONOPOLY_PLAYED,-0.0975046070289057,0.0975046070289057
P0_ORE_IN_HAND,0.09691354856478589,0.09691354856478589
