feature,coefficient,abs_coefficient
TOTAL_P0_WHEAT_PRODUCTION,0.7340975670411205,0.7340975670411205
TOTAL_P0_ORE_PRODUCTION,0.7118280774205834,0.7118280774205834
TOTAL_P1_WHEAT_PRODUCTION,-0.6450909418551547,0.6450909418551547
TOTAL_P1_ORE_PRODUCTION,-0.6133013613718314,0.6133013613718314
TOTAL_P0_BRICK_PRODUCTION,0.5616691616926619,0.5616691616926619
TOTAL_P0_WOOD_PRODUCTION,0.5548830438479168,0.5548830438479168
TOTAL_P0_SHEEP_PRODUCTION,0.47863749216036694,0.47863749216036694
TOTAL_P1_WOOD_PRODUCTION,-0.45245168967092103,0.45245168967092103
TOTAL_P1_BRICK_PRODUCTION,-0.3923372926453789,0.3923372926453789
TOTAL_P1_SHEEP_PRODUCTION,-0.3865131486835727,0.3865131486835727
P1_LONGEST_ROAD_LENGTH,-0.3860820249760498,0.3860820249760498
P0_LONGEST_ROAD_LENGTH,0.30489133433371296,0.30489133433371296
P0_KNIGHT_PLAYED,0.21186284667558392,0.21186284667558392
P1_KNIGHT_PLAYED,-0.19459035509716566,0.19459035509716566
P1_NUM_DEVS_IN_HAND,-0.1880513893899072,0.1880513893899072
P0_HAS_ORE_PORT,-0.17908455223543415,0.17908455223543415
P1_HAS_SHEEP_PORT,0.1452501960423489,0.1452501960423489
P0_HAS_WHEAT_PORT,-0.13332999392624897,0.13332999392624897
P0_PUBLIC_VPS,-0.12882565287278913,0.12882565287278913
P0_WHEAT_IN_HAND,0.11741857282117289,0.11741857282117289
P1_SHEEP_PORT_DISTANCE,0.11527518750392893,0.11527518750392893
P0_VICTORY_POINT_IN_HAND,0.110204662032351,0.110204662032351
P0_NUM_DEVS_IN_HAND,0.10643606500426789,0.10643606500426789
BANK_WHEAT,0.08463410808023755,0.08463410808023755
P1_ORE_PORT_DISTANCE,-0.0839675547613677,0.0839675547613677
P0_BRICK_PORT_DISTANCE,-0.08298562611632349,0.08298562611632349
EFFECTIVE_P0_ORE_PRODUCTION,0.07605739441994136,0.07605739441994136
P0_CITIES_LEFT,0.0751786605832387,0.0751786605832387
P1_YEAR_OF_PLENTY_PLAYED,-0.0734344710085117,0.0734344710085117
EFFECTIVE_P1_BRICK_PRODUCTION,-0.061885582612187545,0.061885582612187545
P1_ROADS_LEFT,-0.06124915287284216,0.06124915287284216
P1_PUBLIC_VPS,0.059812731093734035,0.059812731093734035
BANK_WOOD,-0.05899286312209356,0.05899286312209356
P1_HAS_ORE_PORT,0.057286308251681586,0.057286308251681586
BANK_ORE,0.055524202853721824,0.055524202853721824
EFFECTIVE_P1_WHEAT_PRODUCTION,-0.05546051558039678,0.05546051558039678
P0_ORE_IN_HAND,0.05481482530306545,0.05481482530306545
P0_BRICK_IN_HAND,-0.05280254247490846,0.05280254247490846
P1_HAS_3:1_PORT,0.05106429540179283,0.05106429540179283
BANK_BRICK,-0.05100141455866016,0.05100141455866016
P1_HAS_WHEAT_PORT,0.04960914047835455,0.04960914047835455
P0_YEAR_OF_PLENTY_PLAYED,0.04915694461999166,0.04915694461999166
